LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8,LV9,LV10,LV11,LV12,LV13,LV14,LV15,LV16
-0.3465,0.38285,-0.29424,0.095226,-0.50224,0.3381,-0.035896,0.28431,-0.38524,0.36328,-0.041543,-0.60984,0.72487,-0.72445,0.19169,0.50614
0.35097,0.53664,-0.059736,-0.5349,-0.05095,-0.55082,-0.81149,-0.58941,0.41838,0.46599,0.23493,-0.17158,0.15759,-0.34596,-0.59737,-0.13672
-0.32428,0.27948,-0.18658,-0.12163,-0.046359,-0.16373,-0.15729,0.11702,0.19631,0.11728,-0.58831,-0.42542,-0.77715,0.32247,0.16242,0.80238
0.37238,0.44301,-0.29898,0.14641,-0.22803,0.73904,-0.41592,-0.35571,-0.011683,-0.21395,-0.27672,0.6207,-0.07843,0.4693,-0.5034,-0.074529
-0.27791,0.2872,-0.2336,0.6029,0.22594,-0.67124,-0.36542,0.20323,0.10871,-0.43208,0.80793,0.30327,0.27493,0.51513,-0.23292,0.48033
0.23798,0.60645,0.07926,0.23926,0.17829,0.0057111,0.056291,0.81958,-0.084695,0.63769,-0.16172,0.32115,-0.25482,-0.23727,-0.42812,-0.27345
-0.068025,-0.075793,-0.35596,0.12706,0.66222,0.031797,-0.007108,-0.17931,-0.40221,0.19397,-0.078025,-0.49939,-0.33412,-0.64565,-0.00027771,-0.73801
0.2902,0.35913,-0.12899,-0.42203,0.19789,-0.36757,-0.1496,0.42151,0.30801,-0.68691,-0.68768,0.28428,0.51815,-0.11755,0.64837,-0.10562
-0.41271,0.27414,-0.065118,-0.61665,-0.038132,0.32802,-0.041524,0.50912,-0.23019,-0.67415,0.65642,0.30968,-0.59679,-0.49326,-0.1009,-0.41168
0.020665,0.64164,0.30146,-0.098841,0.43422,0.12562,-0.17737,-0.18707,-0.68439,-0.29054,-0.23441,-0.53347,0.38426,0.57489,-0.093482,0.28345
-0.42963,0.15278,-0.18789,-0.39917,0.45693,0.046797,0.15764,-0.46805,-0.014441,0.71314,0.19667,0.468,0.29284,0.25883,0.40641,0.47493
0.32621,0.48206,-0.14013,-0.39599,-0.037966,-0.22793,0.69239,-0.02966,0.2517,-0.032907,0.43808,-0.20696,0.19798,0.35915,-0.43521,0.051371
-0.44639,0.38022,0.037454,0.15391,-0.35253,-0.15955,-0.1791,0.02765,0.29015,0.24038,-0.16969,-0.31958,0.30238,0.66434,0.1481,-0.67696
0.17677,0.55793,0.12588,0.38446,-0.26047,-0.63455,0.36906,-0.62501,-0.48018,0.15984,0.11476,0.58558,-0.5115,-0.32843,0.68681,-0.18317
-0.48981,0.35366,0.1817,0.44844,0.32379,-0.14072,0.40115,-0.41432,0.34354,-0.61721,-0.5882,0.27332,0.096617,-0.74664,-0.59307,0.23588
0.1977,0.54439,0.18557,0.20891,0.3457,0.64344,-0.084547,-0.28104,0.72815,0.056196,0.55553,-0.38264,-0.18328,-0.20931,0.54267,0.1452
