
Clu#	Lag	X	Y	Z	X(mm)	Y(mm)	Z(mm)	BSR	Appro.P	Clu_Size(voxels)
------------------------------------------------------------------------------------------------

1	1	59	42	73	26.0	-44.0	72.0	5.4821	0.0000	225
2	1	56	48	41	20.0	-32.0	8.0	4.4739	0.0000	35
3	1	50	53	63	8.0	-22.0	52.0	4.3469	0.0000	271
4	1	54	23	59	16.0	-82.0	44.0	4.3014	0.0000	53
5	1	41	59	50	-10.0	-10.0	26.0	4.2177	0.0000	39
6	1	40	49	74	-12.0	-30.0	74.0	4.2116	0.0000	110
7	1	49	57	74	6.0	-14.0	74.0	4.1887	0.0000	20
8	1	68	55	63	44.0	-18.0	52.0	4.1663	0.0000	445
9	1	32	65	44	-28.0	2.0	14.0	4.1151	0.0000	66
10	1	37	25	29	-18.0	-78.0	-16.0	3.8796	0.0001	44
11	1	52	46	60	12.0	-36.0	46.0	3.8598	0.0001	25
12	1	40	40	74	-12.0	-48.0	74.0	3.7170	0.0002	43
13	1	33	34	35	-26.0	-60.0	-4.0	3.6847	0.0002	73
14	1	17	45	47	-58.0	-38.0	20.0	3.6644	0.0002	51
15	1	65	89	43	38.0	50.0	12.0	3.6510	0.0003	25
16	1	72	40	63	52.0	-48.0	52.0	3.6438	0.0003	242
17	1	30	44	67	-32.0	-40.0	60.0	3.6426	0.0003	28
18	1	51	73	70	10.0	18.0	66.0	3.5979	0.0003	11
19	1	53	57	50	14.0	-14.0	26.0	3.5447	0.0004	23
20	1	63	65	68	34.0	2.0	62.0	3.4489	0.0006	19
21	1	62	76	64	32.0	24.0	54.0	3.4472	0.0006	14
22	1	55	67	66	18.0	6.0	58.0	3.4397	0.0006	28
23	1	72	67	38	52.0	6.0	2.0	3.4370	0.0006	104
24	1	29	83	40	-34.0	38.0	6.0	3.3964	0.0007	17
25	1	66	47	47	40.0	-34.0	20.0	3.3364	0.0008	39
26	1	43	74	42	-6.0	20.0	10.0	3.3114	0.0009	26
27	1	58	93	53	24.0	58.0	32.0	3.2929	0.0010	11
28	1	70	33	34	48.0	-62.0	-6.0	3.2611	0.0011	22
29	1	29	83	52	-34.0	38.0	30.0	3.2163	0.0013	63
30	1	52	21	48	12.0	-86.0	22.0	3.2035	0.0014	27
31	1	73	70	55	54.0	12.0	36.0	3.2029	0.0014	10
32	1	48	50	34	4.0	-28.0	-6.0	-4.0865	0.0000	200
33	1	27	61	27	-38.0	-6.0	-20.0	-3.8020	0.0001	63
34	1	29	68	50	-34.0	8.0	26.0	-3.6321	0.0003	63
35	1	36	28	22	-20.0	-72.0	-30.0	-3.4015	0.0007	35
36	2	56	68	37	20.0	8.0	0.0	6.8251	0.0000	2376
37	2	21	58	44	-50.0	-12.0	14.0	5.6593	0.0000	2934
38	2	32	33	36	-28.0	-62.0	-2.0	5.1201	0.0000	608
39	2	26	32	59	-40.0	-64.0	44.0	4.9422	0.0000	252
40	2	49	46	54	6.0	-36.0	34.0	4.6238	0.0000	1431
41	2	65	90	49	38.0	52.0	24.0	4.5983	0.0000	355
42	2	54	73	61	16.0	18.0	48.0	4.4355	0.0000	80
43	2	51	59	75	10.0	-10.0	76.0	4.2772	0.0000	94
