Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Range (mm)	Appended Data
1	26.0	-37.0	2.0	Right Cerebrum	Temporal Lobe	Sub-Gyral	Gray Matter	Hippocampus	1	
2	51.0	33.0	0.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	*	1	
3	-2.0	-40.0	-20.0	Left Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	1	
4	2.0	-6.0	26.0	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	2	
5	-46.0	-52.0	12.0	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 39	0	
6	2.0	-52.0	50.0	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	1	
7	-48.0	-31.0	0.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	0	
8	-8.0	-57.0	62.0	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	0	
9	-18.0	39.0	42.0	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	1	
10	-30.0	-24.0	-14.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Hippocampus	1	
11	-53.0	24.0	12.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 45	1	
12	-8.0	-51.0	19.0	Left Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 30	2	
13	51.0	31.0	-3.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	2	
14	6.0	-50.0	17.0	Right Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 30	0	
15	-4.0	46.0	29.0	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 9	1	
16	36.0	13.0	31.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	2	
17	55.0	-6.0	-11.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 21	2	
18	-44.0	9.0	25.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	1	
19	30.0	-40.0	-18.0	Right Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	1	
20	-57.0	-43.0	2.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 22	1	
21	-46.0	-70.0	33.0	Left Cerebrum	Parietal Lobe	Angular Gyrus	Gray Matter	Brodmann area 39	1	
22	-32.0	-70.0	42.0	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 19	0	
23	-40.0	6.0	37.0	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 9	0	
24	-38.0	-58.0	36.0	Left Cerebrum	Parietal Lobe	Angular Gyrus	Gray Matter	Brodmann area 39	1	
25	6.0	-58.0	5.0	Right Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 30	1	
26	46.0	-21.0	-2.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	0	
27	63.0	-39.0	26.0	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	1	
28	46.0	-35.0	4.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	3	
29	-16.0	35.0	44.0	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	2	
30	-4.0	-50.0	19.0	Left Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 30	1	
31	55.0	-8.0	-11.0	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	4	
32	-57.0	-18.0	-9.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	1	
33	-30.0	-24.0	-14.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Hippocampus	1	
34	-22.0	-26.0	-7.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 28	1	
35	-53.0	26.0	15.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 45	2	
36	10.0	47.0	38.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	1	
37	20.0	24.0	43.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	0	
38	51.0	26.0	15.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 46	2	
39	-36.0	6.0	40.0	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 9	3	
40	-46.0	-51.0	-4.0	Left Cerebrum	Temporal Lobe	Sub-Gyral	Gray Matter	Brodmann area 37	3	
41	30.0	-34.0	-13.0	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 36	0	
42	-46.0	-70.0	37.0	Left Cerebrum	Parietal Lobe	Angular Gyrus	Gray Matter	Brodmann area 39	0	
43	-6.0	-27.0	0.0	Left Cerebrum	Sub-lobar	Thalamus	Gray Matter	Pulvinar	2	
44	36.0	13.0	31.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	2	
45	-32.0	-41.0	-10.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 37	0	
46	-42.0	15.0	32.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	1	
47	46.0	23.0	25.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 46	2	
48	-46.0	-63.0	-7.0	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 37	2	
49	48.0	-61.0	31.0	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	2	
50	2.0	-57.0	65.0	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	3	
51	38.0	39.0	11.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	0	
52	-46.0	-15.0	15.0	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	1	
53	59.0	-48.0	15.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	2	
54	65.0	-40.0	24.0	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
55	51.0	-8.0	-1.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	1	
56	-14.0	37.0	44.0	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	4	
57	12.0	45.0	44.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	0	
58	-2.0	-50.0	19.0	Left Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 30	0	
59	-48.0	22.0	10.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 45	1	
60	-32.0	-39.0	-6.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 37	1	
61	59.0	-14.0	-6.0	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	1	
62	-46.0	-70.0	37.0	Left Cerebrum	Parietal Lobe	Angular Gyrus	Gray Matter	Brodmann area 39	0	
63	48.0	-62.0	34.0	Right Cerebrum	Parietal Lobe	Angular Gyrus	Gray Matter	Brodmann area 39	3	
64	-40.0	17.0	30.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	1	
65	-20.0	-24.0	-7.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 28	1	
66	-53.0	-16.0	-11.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	2	
67	-57.0	-41.0	4.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 22	0	
68	6.0	25.0	-6.0	Right Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 32	1	
69	32.0	19.0	-4.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	0	
70	-46.0	-51.0	-6.0	Left Cerebrum	Temporal Lobe	Sub-Gyral	Gray Matter	Brodmann area 37	3	
71	6.0	-12.0	-8.0	Right Brainstem	Midbrain	*	Gray Matter	Substania Nigra	1	
72	6.0	-37.0	35.0	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	1	
73	-4.0	-29.0	0.0	Left Cerebrum	Sub-lobar	Thalamus	Gray Matter	Pulvinar	3	
74	12.0	8.0	0.0	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Head	1	
75	-24.0	9.0	-9.0	Left Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	3	
76	22.0	-91.0	8.0	Right Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 18	2	
77	38.0	21.0	32.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	0	
78	4.0	-23.0	-2.0	Right Brainstem	Midbrain	*	Gray Matter	Red Nucleus	1	
79	-22.0	-73.0	50.0	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	1	
80	20.0	28.0	50.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	2	
81	22.0	23.0	39.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	1	
82	-8.0	4.0	9.0	Left Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	0	
83	-46.0	-59.0	25.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	0	
84	42.0	-13.0	14.0	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	0	
85	40.0	-28.0	64.0	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 3	2	
86	57.0	-6.0	6.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	1	
87	-30.0	-50.0	12.0	No Gray Matter found						
88	26.0	-55.0	65.0	Right Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	3	
89	42.0	48.0	20.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	2	
90	28.0	-38.0	11.0	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Tail	2	
91	-59.0	-41.0	4.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 22	1	
92	-55.0	20.0	12.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 45	0	
93	-8.0	39.0	40.0	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 8	1	
94	-51.0	-58.0	36.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	2	
95	2.0	-47.0	32.0	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 31	0	
96	-16.0	-5.0	-13.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 28	0	
97	12.0	4.0	-2.0	Right Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Lateral Globus Pallidus	0	
98	53.0	-12.0	-13.0	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	2	
99	-2.0	8.0	9.0	Left Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	2	
100	22.0	-93.0	10.0	Right Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 18	1	
101	59.0	-31.0	-3.0	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	3	
102	-2.0	-52.0	-28.0	Left Cerebellum	Anterior Lobe	Nodule	Gray Matter	*	1	
103	48.0	-60.0	34.0	Right Cerebrum	Parietal Lobe	Angular Gyrus	Gray Matter	Brodmann area 39	3	
104	8.0	9.0	64.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	0	
105	44.0	23.0	-3.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	3	
106	22.0	-84.0	-1.0	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 17	4	
107	20.0	-81.0	-21.0	Right Cerebellum	Posterior Lobe	Declive	Gray Matter	*	0	
108	4.0	23.0	-6.0	Right Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 24	0	
109	-10.0	-27.0	0.0	Left Cerebrum	Sub-lobar	Thalamus	Gray Matter	*	0	
110	-4.0	-15.0	10.0	Left Cerebrum	Sub-lobar	Thalamus	Gray Matter	Medial Dorsal Nucleus	0	
111	-2.0	-34.0	-29.0	Left Cerebellum	Anterior Lobe	*	Gray Matter	*	5	
112	24.0	-26.0	-5.0	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 28	2	
113	46.0	21.0	36.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 9	0	
114	-26.0	-85.0	12.0	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	3	
115	-20.0	11.0	-6.0	Left Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	0	
116	50.0	-53.0	21.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 39	2	
117	53.0	28.0	17.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 46	1	
118	51.0	-35.0	7.0	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 22	2	
