
Clu#	Lag	X	Y	Z	X(mm)	Y(mm)	Z(mm)	BSR	Appro.P	Clu_Size(voxels)
------------------------------------------------------------------------------------------------

1	1	26	45	53	-40.0	-38.0	32.0	5.1115	0.0000	38
2	1	44	38	27	-4.0	-52.0	-20.0	5.0086	0.0000	88
3	1	50	52	52	8.0	-24.0	30.0	4.2795	0.0000	87
4	1	29	72	54	-34.0	16.0	34.0	4.1879	0.0000	11
5	1	28	42	57	-36.0	-44.0	40.0	4.0905	0.0000	10
6	1	37	82	53	-18.0	36.0	32.0	4.0660	0.0000	11
7	1	22	45	58	-48.0	-38.0	42.0	4.0433	0.0001	19
8	1	20	47	45	-52.0	-34.0	16.0	3.9647	0.0001	14
9	1	21	51	34	-50.0	-26.0	-6.0	3.9607	0.0001	12
10	1	35	40	44	-22.0	-48.0	14.0	-4.5750	0.0000	18
11	1	49	51	32	6.0	-26.0	-10.0	-4.3894	0.0000	17
12	1	19	82	39	-54.0	36.0	4.0	-4.0710	0.0000	10
13	1	27	62	30	-38.0	-4.0	-14.0	-4.0267	0.0001	27
14	1	30	56	25	-32.0	-16.0	-24.0	-3.7914	0.0001	18
15	2	49	43	21	6.0	-42.0	-32.0	4.6330	0.0000	72
16	2	21	59	31	-50.0	-10.0	-12.0	4.4686	0.0000	19
17	2	42	29	54	-8.0	-70.0	34.0	4.4361	0.0000	74
18	2	54	46	28	16.0	-36.0	-18.0	4.3781	0.0000	33
19	2	21	52	34	-50.0	-24.0	-6.0	4.3532	0.0000	27
20	2	29	48	46	-34.0	-32.0	18.0	3.9894	0.0001	12
21	2	43	46	51	-6.0	-36.0	28.0	3.9795	0.0001	48
22	2	40	75	37	-12.0	22.0	0.0	3.9505	0.0001	16
23	2	36	37	52	-20.0	-54.0	30.0	3.8939	0.0001	10
24	2	39	40	59	-14.0	-48.0	44.0	3.8922	0.0001	10
25	2	30	38	39	-32.0	-52.0	4.0	3.8689	0.0001	24
26	2	22	47	46	-48.0	-34.0	18.0	3.8113	0.0001	23
27	2	49	40	53	6.0	-48.0	32.0	3.7804	0.0002	39
28	2	46	44	29	0.0	-40.0	-16.0	3.7603	0.0002	13
29	2	22	57	45	-48.0	-14.0	16.0	3.5720	0.0004	12
30	2	29	68	49	-34.0	8.0	24.0	-6.0597	0.0000	295
31	2	21	83	43	-50.0	38.0	12.0	-5.2493	0.0000	265
32	2	72	78	39	52.0	28.0	4.0	-5.0839	0.0000	59
33	2	68	70	51	44.0	12.0	28.0	-4.2685	0.0000	270
34	2	75	38	39	58.0	-52.0	4.0	-4.2008	0.0000	39
35	2	19	38	37	-54.0	-52.0	0.0	-4.1126	0.0000	17
36	2	54	84	56	16.0	40.0	38.0	-3.8588	0.0001	20
37	2	26	75	45	-40.0	22.0	16.0	-3.8370	0.0001	14
38	2	35	70	65	-22.0	12.0	56.0	-3.6790	0.0002	10
39	3	65	48	59	38.0	-32.0	44.0	7.2218	0.0000	298
40	3	50	37	53	8.0	-54.0	32.0	6.8071	0.0000	1873
41	3	40	66	61	-12.0	4.0	48.0	5.3952	0.0000	44
42	3	22	51	67	-48.0	-26.0	60.0	5.1945	0.0000	360
