Clu#,Lag,X,Y,Z,X(mm),Y(mm),Z(mm),BSR,Appro.P,Clu_Size(voxels),Record Number,X coor,Y coor,Z coor,Level 1,Level 2,Level 3,Level 4,Level 5,Range (mm)
1,1,30,74,55,-32,20,36,5.0414,0,43,1,-32,21,32,Left Cerebrum,Frontal Lobe,Middle Frontal Gyrus,Gray Matter,Brodmann area 9,0
2,1,56,54,45,20,-20,16,4.8279,0,25,2,20,-19,16,Right Cerebrum,Sub-lobar,Thalamus,Gray Matter,Lateral Posterior Nucleus,0
3,1,63,50,62,34,-28,50,4.689,0,16,3,34,-25,47,Right Cerebrum,Frontal Lobe,Precentral Gyrus,Gray Matter,Brodmann area 4,1
4,1,45,90,39,-2,52,4,4.5468,0,19,4,-2,51,1,Left Cerebrum,Frontal Lobe,Medial Frontal Gyrus,Gray Matter,Brodmann area 10,0
5,1,26,45,52,-40,-38,30,4.4021,0,17,5,-40,-35,29,Left Cerebrum,Parietal Lobe,Inferior Parietal Lobule,Gray Matter,Brodmann area 40,4
6,1,64,44,60,36,-40,46,3.9652,0.0001,51,6,36,-37,44,Right Cerebrum,Parietal Lobe,Inferior Parietal Lobule,Gray Matter,Brodmann area 40,2
7,1,27,49,47,-38,-30,20,3.6505,0.0003,10,7,-38,-28,20,Left Cerebrum,Sub-lobar,Insula,Gray Matter,Brodmann area 13,1
8,1,40,25,57,-12,-78,40,3.6384,0.0003,11,8,-12,-74,41,Left Cerebrum,Parietal Lobe,Precuneus,Gray Matter,Brodmann area 7,1
9,1,35,39,43,-22,-50,12,-4.4771,0,16,9,-22,-48,13,Left Cerebrum,Limbic Lobe,Posterior Cingulate,Gray Matter,Brodmann area 30,5
10,1,25,63,30,-42,-2,-14,-4.4758,0,46,10,-42,-3,-12,Left Cerebrum,Temporal Lobe,Sub-Gyral,Gray Matter,Brodmann area 21,2
11,1,63,61,28,34,-6,-18,-4.2565,0,13,11,34,-7,-15,Right Cerebrum,Limbic Lobe,Parahippocampal Gyrus,Gray Matter,Amygdala,4
12,1,74,61,37,56,-6,0,-4.184,0,19,12,55,-6,0,Right Cerebrum,Temporal Lobe,Superior Temporal Gyrus,Gray Matter,Brodmann area 22,1
13,2,45,37,53,-2,-54,32,6.7031,0,679,13,-2,-51,32,Left Cerebrum,Parietal Lobe,Precuneus,Gray Matter,Brodmann area 31,0
14,2,39,50,24,-14,-28,-26,5.5554,0,17,14,-14,-28,-20,Left Cerebellum,Anterior Lobe,Culmen,Gray Matter,*,2
15,2,29,63,25,-34,-2,-24,4.5541,0,22,15,-34,-3,-20,Left Cerebrum,Limbic Lobe,Parahippocampal Gyrus,Gray Matter,Amygdala,4
16,2,28,32,57,-36,-64,40,4.5278,0,89,16,-36,-60,40,Left Cerebrum,Parietal Lobe,Inferior Parietal Lobule,Gray Matter,Brodmann area 39,1
17,2,73,60,30,54,-8,-14,4.075,0,47,17,53,-8,-11,Right Cerebrum,Temporal Lobe,Superior Temporal Gyrus,Gray Matter,Brodmann area 21,3
18,2,44,38,19,-4,-52,-36,4.0004,0.0001,17,18,-4,-52,-28,Left Cerebellum,Anterior Lobe,Nodule,Gray Matter,*,0
19,2,55,48,28,18,-32,-18,3.7841,0.0002,17,19,18,-32,-14,Right Cerebellum,Anterior Lobe,Culmen,Gray Matter,*,0
20,2,21,58,30,-50,-12,-14,3.7078,0.0002,28,20,-50,-12,-11,Left Cerebrum,Temporal Lobe,Middle Temporal Gyrus,Gray Matter,Brodmann area 21,4
21,2,77,56,49,62,-16,24,-4.0186,0.0001,20,21,61,-14,23,Right Cerebrum,Parietal Lobe,Postcentral Gyrus,Gray Matter,Brodmann area 3,2
