Lag0,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6
0,-0.20701,2.3435,15.757,18.253,-0.21868,-15.4
0,-0.63459,0.31789,14.796,14.299,-0.58333,-25.7
0,-0.013438,1.3163,18.995,21.334,13.143,-6.9219
0,-2.791,-1.6809,15.064,12.344,8.8286,-10.882
0,0.25314,1.8467,13.119,18.567,7.4638,-8.8264
0,-0.43612,2.6618,20.874,26.471,24.879,11.829
0,0.6176,3.7374,15.835,22.485,8.7965,-1.4989
0,-0.3063,4.0429,17.795,5.0588,-13.89,-23.802
0,0.76418,-0.23676,1.0663,8.7179,7.5646,5.3872
0,1.4513,1.2903,5.4275,3.1577,5.5475,-0.081854
0,-1.8008,-0.86331,3.0286,-1.8937,-11.253,-17.305
0,2.5065,4.3121,9.2876,10.205,7.9061,-2.1341
0,0.23968,0.63081,1.2013,8.0334,9.5401,0.58627
0,-0.26854,-0.83151,5.8469,11.24,14.852,8.1087
0,1.2013,2.7406,7.2136,14.358,17.303,10.812
0,-3.4404,-5.6902,-9.3146,-11.218,-11.225,-4.9546
0,-0.88161,0.98738,3.4924,-2.4398,-15.879,-23.823
0,-1.1815,3.1339,8.4777,2.9214,-6.3261,-9.5488
0,1.2323,4.1118,12.064,5.6714,-1.3725,-2.375
0,2.3847,8.4318,28.253,16.766,-7.5095,-19.972
0,0.34152,2.2217,17.76,17.21,7.6266,-3.1407
0,-0.53882,1.2029,11.962,14.084,9.9226,4.987
0,1.4416,9.4755,32.921,37.587,36.194,27.437
0,1.2978,0.24557,-6.7021,-10.898,-8.0689,-5.7586
0,0.052026,2.0398,12.182,10.382,0.045869,-3.066
0,0.59031,0.25788,7.5594,3.02,-4.6413,-9.4283
0,-1.3052,0.12933,7.3962,9.4784,4.9132,-4.0279
0,-1.0126,-0.36055,5.9197,4.481,-4.5075,-4.851
0,0.1236,0.7539,9.7305,10.74,7.8265,6.1054
0,-0.50258,1.8363,12.058,10.976,5.2486,-0.59573
0,1.4799,2.4578,9.4023,10.868,8.7845,5.7006
0,-0.61993,-0.17958,5.0558,3.9756,0.10369,-1.3903
0,-1.2726,0.20458,4.3381,5.7499,-2.6411,-7.1847
0,-2.2103,-4.5856,-4.3128,6.4272,5.6016,-1.5867
0,-0.31309,-0.40799,-3.5539,4.0204,-9.4355,-22.058
0,-0.51069,-8.1962,-28.463,-4.4401,16.231,26.115
0,2.2611,-0.035915,-9.4643,-8.234,-1.0705,7.5053
0,2.0616,1.6948,-12.039,-2.8079,13.716,14.188
0,0.83951,3.5135,15.774,15.021,-4.076,-6.9892
0,-0.14719,2.1499,5.6889,-0.9659,-0.006612,8.7821
0,1.392,3.4652,9.2917,6.7691,-4.5751,-17.398
0,2.9357,2.3553,0.83253,1.4267,-2.4967,-7.7388
0,0.77135,1.8033,-2.0273,3.2639,0.84658,-6.6653
0,1.5461,7.8,14.005,15.116,11.82,1.1131
0,3.7611,6.6535,20.611,19.265,7.4494,-6.807
0,1.6214,0.16976,-1.2451,3.1209,14.444,14.92
0,4.9209,5.1758,14.951,25.417,20.043,1.5645
0,-0.61186,-2.6304,-3.0616,-8.2856,-11.437,-21.081
0,1.4271,0.37225,6.302,6.3547,6.495,7.4698
0,-0.42314,-0.58104,2.6367,2.7703,4.0575,1.6118
0,0.95493,0.87784,5.1364,6.6405,9.7534,4.9624
0,-1.4435,-0.40303,1.2211,0.67756,-2.5622,-4.1972
0,0.42349,-3.4747,-7.166,-2.3131,-0.27778,-1.1631
0,0.38931,-0.087436,4.7565,4.9127,-3.548,-9.8751
0,0.37444,2.1857,10.543,15.509,18.595,11.575
0,-0.51708,-0.37183,-1.8543,-2.1862,-0.99168,-1.0069
0,-0.23223,-2.2311,2.0396,5.7337,0.65963,-13.591
0,0.95196,-1.5668,-2.5722,6.0903,6.0368,0.30137
0,0.96309,0.4719,1.983,5.3032,6.1483,2.8165
0,0.14011,-1.8312,-2.454,0.33479,2.4019,2.0031
0,0.92352,-1.2629,2.1664,4.5697,7.0597,-2.4679
0,0.062952,-2.088,-3.1547,4.6524,2.1868,-8.3288
0,2.021,0.48486,0.54245,6.0504,8.8937,2.3651
0,-0.26847,-3.7137,-6.3524,2.7732,2.6667,-0.60955
0,-0.35817,-4.8679,-2.9794,4.5191,3.2728,-4.9992
0,-0.37644,-1.89,4.8949,10.117,8.7868,6.5839
0,-1.18,-1.1933,6.5138,10.104,11.285,0.30163
0,-0.21655,-1.9122,4.6651,7.9341,3.4962,-6.347
0,-0.71969,-3.4912,1.5502,5.0714,7.5269,4.4363
0,0.40407,0.50757,9.9594,13.528,6.4556,-2.0329
0,3.4843,4.6321,13.224,17.488,13.608,3.6423
0,-5.1736,-6.9867,-2.3695,-1.5972,-3.6803,-11.751
0,0.14306,-2.8477,-14.878,-9.5852,-9.5073,-3.6728
0,1.6545,1.9354,4.9547,7.5569,9.1334,9.6112
0,2.1262,1.2082,-2.2031,6.3975,5.1708,14.356
0,1.2032,0.40212,6.6746,16.13,13.154,-0.51502
0,0.88952,0.9446,6.7278,12.158,0.56886,-2.9553
0,0.081006,-3.0271,-5.4277,3.5381,-2.2903,-9.3261
0,2.0166,2.8127,11.509,21.762,14.748,6.0201
0,-1.2161,-2.416,-11.04,-11.185,-8.6027,-3.563
0,0.19186,0.84724,8.7436,1.2037,-14.626,-30.522
0,-1.256,2.5873,6.6319,-2.9947,-19.194,-37.594
0,1.9549,4.6534,20.282,8.4466,-19.146,-61.262
0,0.73596,2.733,13.668,8.6025,18.837,11.08
0,-0.44127,3.7567,17.722,1.0333,-10.285,-19.209
0,7.2773,6.0147,3.6129,11.976,22.465,30.871
0,2.4917,11.439,23.063,13.657,3.0147,0.51492
0,0.10085,0.5102,3.7765,6.7725,14.186,12.036
0,-1.6647,-4.2878,-0.1775,-0.92327,-0.76459,-9.0288
0,0.9863,1.7119,11.014,9.5612,8.1298,1.5954
0,0.89933,-0.63791,10.327,8.2305,1.1781,-4.3019
0,2.1143,1.5327,12.823,10.903,9.2595,0.71077
0,-0.38072,-0.80393,7.7657,14.789,17.794,10.584
0,0.66283,0.28413,11.623,14.362,8.2533,1.4362
0,2.2919,2.0322,8.5775,13.76,20.852,20.28
0,-0.67864,-3.6015,2.0713,-1.4612,-16.532,-28.694
0,0.61309,0.81045,7.8443,5.4856,1.6709,-4.0861
0,-1.7718,0.22855,11.524,6.7305,7.0111,0.63411
0,0.1165,5.2278,11.251,5.1921,2.8875,0.27112
0,-0.45086,1.342,5.2917,0.25865,-1.423,-1.9367
0,0.46011,4.938,13.053,7.641,5.69,3.9452
0,1.0579,4.2418,10.836,7.6391,8.9561,3.7583
0,2.0176,5.3052,8.4819,7.3287,12.242,10.384
