Clu#,Lag,X,Y,Z,X(mm),Y(mm),Z(mm),BSR,Appro.P,Clu_Size(voxels),Record#,X coor,Y coor,Z coor,Level 1,Level 2,Level 3,Level 4,Level 5,Range (mm)
------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,1,70,38,44,48,-52,14,7.8528,0,419,1,48,-50,15,Right Cerebrum,Temporal Lobe,Superior Temporal Gyrus,Gray Matter,Brodmann area 39,2
2,1,38,38,53,-16,-52,32,7.2532,0,645,2,-16,-49,32,Left Cerebrum,Parietal Lobe,Precuneus,Gray Matter,Brodmann area 31,3
3,1,36,46,37,-20,-36,0,7.0327,0,52,3,-20,-35,2,Left Cerebrum,Limbic Lobe,Parahippocampal Gyrus,Gray Matter,Brodmann area 30,1
4,1,24,29,48,-44,-70,22,6.8646,0,467,4,-44,-67,24,Left Cerebrum,Temporal Lobe,Middle Temporal Gyrus,Gray Matter,Brodmann area 39,4
5,1,59,52,41,26,-24,8,6.4042,0,564,5,26,-23,9,Right Cerebrum,Sub-lobar,Thalamus,Gray Matter,Pulvinar,3
6,1,67,48,63,42,-32,52,6.2244,0,221,6,42,-29,49,Right Cerebrum,Parietal Lobe,Postcentral Gyrus,Gray Matter,Brodmann area 40,2
7,1,78,47,45,64,-34,16,6.1732,0,294,7,63,-32,16,Right Cerebrum,Temporal Lobe,Superior Temporal Gyrus,Gray Matter,Brodmann area 42,2
8,1,43,61,45,-6,-6,16,6.0408,0,1469,8,-6,-5,15,Left Cerebrum,Sub-lobar,Thalamus,Gray Matter,Anterior Nucleus,2
9,1,30,45,62,-32,-38,50,5.9139,0,457,9,-32,-35,48,Left Cerebrum,Parietal Lobe,Postcentral Gyrus,Gray Matter,Brodmann area 3,3
10,1,49,33,27,6,-62,-20,5.7875,0,243,10,6,-61,-14,Right Cerebellum,Posterior Lobe,Declive,Gray Matter,*,0
11,1,70,64,44,48,0,14,5.5462,0,289,11,48,1,13,Right Cerebrum,Frontal Lobe,Precentral Gyrus,Gray Matter,Brodmann area 44,4
12,1,41,85,38,-10,42,2,5.4391,0,92,12,-10,41,0,Left Cerebrum,Limbic Lobe,Anterior Cingulate,Gray Matter,*,0
13,1,70,35,28,48,-58,-18,5.37,0,37,13,48,-57,-12,Right Cerebrum,Temporal Lobe,Fusiform Gyrus,Gray Matter,Brodmann area 37,0
14,1,77,61,34,62,-6,-6,5.3086,0,130,14,61,-6,-5,Right Cerebrum,Temporal Lobe,Middle Temporal Gyrus,Gray Matter,Brodmann area 21,1
15,1,79,52,56,66,-24,38,5.293,0,22,15,65,-22,36,Right Cerebrum,Parietal Lobe,Postcentral Gyrus,Gray Matter,Brodmann area 1,0
