subID, run, pres_order, foundation, vigfile, vignum, vigtext, moral_decision, trialstart_raw, trialstart_zeroed, trialstart_TR, trialdur, RT, intended_jitter, ITI_start_raw, ITI_start_zeroed, ITI_start_TR, ITI_duration, ITI_accuracy
29,1,99999,99999,99999,99999,99999,99999,8,0,0,1,99999,99999,9,1,0.5,1,99999
29,1,1, fair, fair03.jpg,48, You_see_a_tenant_bribing_a_landlord_to_be_the_first_to_get_their_apartment_repainted.,3,10.064695,2.064695,1.032347,6,4.623841,6,16.065248,8.065248,4.032624,6.006155,0.75
29,1,2, pur, pur13.jpg,103, You_see_two_first_cousins_getting_married_to_each_other_in_an_elaborate_wedding.,4,22.314405,14.314405,7.157202,6,4.263833,6,28.314511,20.314511,10.157255,6.001807,1
29,1,3, loy, loy12.jpg,87, You_see_an_American_telling_foreigners_that_the_US_is_an_evil_force_in_the_world.,4,34.330964,26.330964,13.165482,6,5.202198,4.50E+00,40.331017,32.331017,16.165509,4.501419,1
29,1,4, loy, loy10.jpg,85, You_see_a_Hollywood_star_agreeing_with_a_foreign_dictator's_denunciation_of_the_US.,4,44.847553,36.847553,18.423777,6,4.557237,6,50.847624,42.847624,21.423812,6.001457,0.75
29,1,5, carep, carephys08.jpg,38, You_see_a_boy_setting_a_series_of_traps_to_kill_stray_cats_in_his_neighborhood.,4,56.880866,48.880866,24.440433,6,2.871789,3,62.880968,54.880968,27.440484,3.001214,0.5
29,1,6, pur, pur12.jpg,102, You_see_a_man_searching_through_the_trash_to_find_women's_discarded_underwear.,4,65.914146,57.914146,28.957073,6,3.978298,7.50E+00,71.914177,63.914177,31.957088,7.501546,1
29,1,7, lib, lib04.jpg,64, You_see_a_manager_coercing_her_employees_into_eating_at_her_brother's_diner.,3,79.430794,71.430794,35.715397,6,4.901399,4.50E+00,85.43089,77.43089,38.715445,4.501281,1
29,1,8, pur, pur07.jpg,97, You_see_a_woman_having_intimate_relations_with_a_recently_deceased_loved_one.,4,89.947393,81.947393,40.973696,6,3.504477,4.50E+00,95.947473,87.947473,43.973736,4.501389,1
29,1,9, auth, auth09.jpg,9, You_see_a_boy_turning_up_the_TV_as_his_father_talks_about_his_military_service., NaN,100.480667,92.480667,46.240334,6, NaN,3,106.480864,98.480864,49.240432,3.001163,0.5
29,1,10, auth, auth08.jpg,8, You_see_a_player_publicly_yelling_at_his_soccer_coach_during_a_playoff_game.,3,109.497315,101.497315,50.748658,6,4.453896,4.50E+00,115.497388,107.497388,53.748694,4.501155,1
29,1,11, carem, careemo07.jpg,22, You_see_a_girl_saying_that_another_girl_is_too_ugly_to_be_a_varsity_cheerleader.,3,120.013936,112.013936,56.006968,6,3.308093,4.50E+00,126.014053,118.014053,59.007026,4.501375,1
29,1,12, socn, socnorm12.jpg,117, You_see_a_woman_watching_a_game_on_television_in_black-and-white_instead_of_color.,1,130.547213,122.547213,61.273606,6,3.558439,3,136.547324,128.547324,64.273662,3.001085,1
29,1,13, auth, auth13.jpg,13, You_see_a_man_turn_his_back_and_walk_away_while_his_boss_questions_his_work.,3,139.563844,131.563844,65.781922,6,4.506812,4.50E+00,145.563864,137.563864,68.781932,4.501262,1
29,1,14, socn, socnorm05.jpg,110, You_see_a_woman_continuing_to_wear_a_large_sun_hat_inside_her_apartment_complex.,2,150.08047,142.08047,71.040235,6,5.256821,4.50E+00,156.080522,148.080522,74.040261,4.501276,1
29,1,15, lib, lib11.jpg,71, You_see_a_mother_forcing_her_daughter_to_enroll_as_a_pre-med_student_in_college.,3,160.597108,152.597108,76.298554,6,3.880911,3,166.597145,158.597145,79.298573,3.001152,1
29,1,16, fair, fair01.jpg,46, You_see_a_student_copying_a_classmate's_answer_sheet_on_a_makeup_final_exam.,3,169.613725,161.613725,80.806863,6,3.501945,4.50E+00,175.613831,167.613831,83.806916,4.501312,1
29,1,17, lib, lib13.jpg,73, You_see_a_teacher_ordering_a_student_to_get_a_normal_haircut_before_coming_to_class.,3,180.130358,172.130358,86.065179,6,4.065081,6,186.130411,178.130411,89.065206,6.001357,0.75
29,1,18, lib, lib02.jpg,62, You_see_a_father_requiring_his_son_to_become_a_commercial_airline_pilot_like_him.,3,192.147015,184.147015,92.073508,6,4.941125,6,198.147109,190.147109,95.073555,6.00145,0.75
29,1,19, auth, auth04.jpg,4, You_see_an_intern_disobeying_an_order_to_dress_professionally_and_comb_his_hair., NaN,204.180314,196.180314,98.090157,6, NaN,7.50E+00,210.180422,202.180422,101.090211,7.501477,1
29,1,20, socn, socnorm06.jpg,111, You_see_someone_at_the_school_gym_lifting_free_weights_in_nice_business_clothes.,2,217.696913,209.696913,104.848456,6,3.498691,6,223.697015,215.697015,107.848508,6.001453,1
29,1,21, auth, auth05.jpg,5, You_see_a_teenage_girl_coming_home_late_and_ignoring_her_parents_strict_curfew.,3,229.713538,221.713538,110.856769,6,4.089972,6,235.713651,227.713651,113.856826,6.001389,1
29,1,22, fair, fair15.jpg,60, You_see_a_politician_using_federal_tax_dollars_to_build_an_extension_on_his_home.,4,241.730131,233.730131,116.865065,6,3.972899,3,247.730233,239.730233,119.865116,3.00114,1
29,1,23, carep, carephys10.jpg,40, You_see_a_girl_throwing_her_hot_coffee_on_a_woman_who_is_dating_her_ex-boyfriend.,4,250.763422,242.763422,121.381711,6,3.478559,3,256.763482,248.763482,124.381741,3.001172,1
