subID,vigfile, moral_decision, trialstart, RT
1, pur03.JPG, 4$,5.067809,5.324436
1, loy13.JPG, 2@,16.401094,5.103535
1, careemo10.JPG, 3#,28.601072,4.331697
1, loy02.JPG, 2@,37.751031,4.539368
1, fair04.JPG, 3#,49.984325,4.470648
1, careemo15.JPG, 3#,62.200993,4.125809
1, pur14.JPG, 2@,75.967605,5.113708
1, socnorm05.JPG, 1!,88.184226,5.078621
1, carephys11.JPG, 3#,97.31751,4.167321
1, auth08.JPG, 2@,108.000847,5.073786
1, loy01.JPG, 2@,120.217457,5.497107
1, pur15.JPG, 3#,132.41742,5.484543
1, auth13.JPG, 3#,141.567395,4.570393
1, loy04.JPG, 2@,156.833995,4.697467
1, auth15.JPG, 2@,169.033977,4.937087
1, pur09.JPG, 4$,179.71728,5.297743
1, lib02.JPG, 2@,188.867246,4.658657
1, socnorm07.JPG, 1!,199.533873,4.057532
1, lib06.JPG, 3#,211.750523,4.544677
1, carephys01.JPG, 3#,219.367159,4.500555
1, fair08.JPG, 4$,228.517115,3.730715
1, auth05.JPG, 2@,237.667092,4.326469
1, lib03.JPG, 4$,249.867052,4.593269
1, pur10.JPG, 2@,263.617001,5.11793
1, careemo14.JPG, 3#,272.76702,3.630577
1, lib14.JPG, 4$,284.983613,3.714651
1, careemo06.JPG, 4$,294.133604,4.735448
1, socnorm13.JPG, 1!,304.800225,3.851644
1, loy05.JPG, 2@,315.483518,4.927252
1, loy11.JPG, 2@,327.700157,5.106156
1, carephys10.JPG, 4$,335.316785,5.325382
1, pur12.JPG, 4$,344.450093,4.643863
1, careemo03.JPG, 3#,356.650043,4.616608
1, loy03.JPG, 1!,371.933341,5.206075
1, fair01.JPG, 4$,382.616623,4.198296
1, carephys04.JPG, 3#,390.233257,3.716745
1, fair03.JPG, 3#,402.433249,5.828322
1, lib07.JPG, 3#,416.1832,3.697162
1, carephys07.JPG, 2@,431.449814,4.628859
1, socnorm01.JPG, 1!,442.133113,4.014452
1, vignette, moral_decision, trialstart, RT
1, fair02.JPG, 3#,5.067001,3.236891
1, auth06.JPG, 3#,15.783644,4.072977
1, socnorm15.JPG, 1!,31.066901,3.87411
1, fair09.JPG, 2@,41.733549,4.96865
1, auth11.JPG, 3#,53.933515,4.7159
1, loy15.JPG, 1!,69.216783,5.396355
1, socnorm03.JPG, 1!,76.833439,3.307531
1, pur07.JPG, 4$,85.98339,4.063234
1, loy06.JPG, 2@,95.133377,3.662065
1, fair07.JPG, 3#,104.283347,3.0119
1, fair12.JPG, 3#,118.033279,4.029618
1, pur08.JPG, 4$,128.699949,3.955934
1, careemo04.JPG, 3#,137.849908,4.275658
1, socnorm02.JPG, 1!,148.516537,3.985585
1, fair14.JPG, 3#,160.733187,3.715643
1, loy10.JPG, 1!,174.48311,3.971419
1, fair06.JPG, 4$,185.166432,5.278947
1, socnorm04.JPG, 1!,192.766421,2.939776
1, auth04.JPG, 2@,204.983024,4.345764
1, loy09.JPG, 2@,217.199666,4.355855
1, carephys03.JPG, 2@,229.416273,4.553989
1, auth01.JPG, 3#,241.632916,4.255466
1, lib12.JPG, 3#,253.849556,4.446024
1, pur02.JPG, 4$,269.132824,4.614498
1, carephys12.JPG, 2@,281.349466,3.754512
1, socnorm14.JPG, 1!,292.016084,3.190724
1, fair10.JPG, 2@,304.232724,3.218885
1, carephys05.JPG, 2@,313.382672,5.065456
1, pur05.JPG, 4$,327.115957,4.057164
