subID,vigfile, moral_decision, trialstart, RT
2, careemo14.JPG, 2@,5.037729,4.017075
2, fair01.JPG, 3#,14.104392,4.229091
2, pur08.JPG, 3#,27.837713,4.22548
2, pur04.JPG, 4$,41.571063,5.497706
2, loy08.JPG, 3#,49.17105,5.083618
2, fair11.JPG, 2@,59.837721,4.394846
2, socnorm07.JPG, 1!,67.437722,4.138627
2, carephys04.JPG, 3#,78.104372,4.277894
2, socnorm03.JPG, 1!,93.371047,3.879668
2, carephys03.JPG, 3#,105.571048,5.111447
2, auth04.JPG, 2@,117.771051,5.901114
2, lib14.JPG, 3#,128.437708,5.590199
2, fair07.JPG, 2@,140.654375,4.831452
2, auth11.JPG, 2@,152.85438,4.980268
2, loy06.JPG, 1!,161.987707,4.236574
2, careemo15.JPG, 3#,172.654368,4.16664
2, socnorm01.JPG, 1!,181.787705,4.714321
2, auth15.JPG, 2@,193.987699,4.737854
2, lib12.JPG, 2@,203.121018,4.414409
2, fair03.JPG, 3#,215.321032,4.672257
2, loy12.JPG, 4$,224.454363,4.973632
2, carephys09.JPG, 3#,235.121037,4.512544
2, loy05.JPG, 2@,247.321028,4.886527
2, fair13.JPG, 2@,256.454364,5.396023
2, pur14.JPG, 4$,271.72102,4.239048
2, loy04.JPG, 2@,280.854355,4.431463
2, careemo01.JPG, 4$,293.054355,4.745126
2, lib03.JPG, 3#,303.721018,4.759244
2, socnorm05.JPG, 1!,314.387684,4.697391
2, pur10.JPG, 3#,326.58768,4.167355
2, lib06.JPG, 3#,338.787677,5.302197
2, careemo09.JPG, 2@,347.921009,4.217445
2, socnorm12.JPG, 1!,358.58768,4.290794
2, auth06.JPG, 4$,373.854338,3.558572
2, loy14.JPG, 1!,384.520998,4.891683
2, auth03.JPG, 1!,395.187679,4.658683
2, careemo11.JPG, 2@,405.854342,5.239889
2, lib05.JPG, 3#,418.054332,4.471414
2, carephys10.JPG, 3#,427.18766,4.74599
2, careemo13.JPG, 2@,442.454327,5.384048
2, vignette, moral_decision, trialstart, RT
2, loy03.JPG, 1!,5.04346,4.666902
2, pur11.JPG, 1!,17.293462,5.218725
2, careemo07.JPG, 3#,26.426783,4.636167
2, pur06.JPG, 2@,35.560115,4.60574
2, socnorm14.JPG, 1!,49.293455,3.197166
2, loy02.JPG, 2@,64.560116,4.567171
2, careemo03.JPG, 2@,76.760115,5.36288
2, carephys06.JPG, 1!,87.426776,5.39989
2, careemo08.JPG, 2@,99.626771,5.525778
2, socnorm04.JPG, 1!,110.293438,3.256754
2, carephys11.JPG, 3#,122.493493,4.551608
2, pur01.JPG, 4$,137.760103,3.844543
2, lib10.JPG, 1!,148.426762,5.269745
2, socnorm02.JPG, 1!,159.093424,4.592976
2, fair04.JPG, 3#,171.293427,5.999953
2, lib11.JPG, 2@,185.026758,4.236861
2, carephys02.JPG, 3#,194.16009,4.108582
2, careemo10.JPG, 2@,203.293418,4.33479
2, loy09.JPG, 2@,213.960083,4.836137
2, loy10.JPG, 1!,223.093415,5.318529
2, auth02.JPG, 2@,233.760076,3.968679
2, careemo12.JPG, 3#,244.426743,4.482976
2, loy07.JPG, 2@,256.626747,5.580358
2, lib13.JPG, 2@,268.826728,4.332155
2, careemo04.JPG, ,0,0
2, fair14.JPG, 3#,287.093408,4.263207
2, fair02.JPG, 2@,294.693399,6.000004
2, carephys01.JPG, 3#,309.960074,4.512966
2, pur07.JPG, 4$,322.160075,4.502729
2, fair06.JPG, 3#,334.360069,6.000007
2, carephys13.JPG, 2@,346.560057,5.126179
2, fair05.JPG, 3#,358.760054,5.24395
2, pur03.JPG, 3#,367.893385,4.696406
2, loy13.JPG, ,0,0
2, lib09.JPG, 4$,386.160053,5.999985
2, socnorm08.JPG, 4$,401.426713,5.999962
2, auth01.JPG, 4$,413.62672,5.011301
2, pur02.JPG, 4$,424.293382,3.309607
2, carephys05.JPG, 3#,434.960031,3.708432
2, socnorm10.JPG, 1!,444.093374,4.085674
2, vignette, moral_decision, trialstart, RT
2, auth05.JPG, 2@,5.037749,3.817364
2, auth07.JPG, ,0,0
2, carephys07.JPG, 1!,26.421079,4.27774
2, fair12.JPG, 3#,38.621055,3.680198
2, lib01.JPG, 3#,53.887735,4.313227
2, lib08.JPG, 2@,63.021066,4.898747
2, auth10.JPG, 3#,75.221067,5.428557
2, carephys15.JPG, 3#,84.354388,4.840019
2, socnorm06.JPG, 1!,98.087728,3.878387
2, pur13.JPG, 4$,110.287721,5.248158
2, lib07.JPG, 3#,122.487732,4.871776
2, careemo05.JPG, 3#,134.687717,4.365623
2, loy01.JPG, 2@,143.821065,4.187239
2, socnorm11.JPG, 1!,154.487711,3.910225
2, auth08.JPG, 2@,166.68771,4.581906
2, lib02.JPG, 3#,177.354377,4.679958
2, lib04.JPG, 3#,186.487703,4.516531
2, loy15.JPG, 3#,198.687706,4.784472
2, pur12.JPG, 4$,209.354356,4.328627
2, socnorm15.JPG, 1!,223.087705,4.455797
2, pur15.JPG, 2@,238.35437,4.257974
2, pur09.JPG, 4$,247.487697,3.556267
2, careemo06.JPG, 3#,255.08769,3.862112
2, socnorm09.JPG, 1!,264.221025,2.54952
2, carephys12.JPG, 3#,276.421024,3.864493
2, auth14.JPG, 2@,288.621016,3.744054
2, socnorm13.JPG, 1!,300.821017,3.930818
2, auth13.JPG, 2@,311.487678,4.846089
2, carephys08.JPG, 2@,322.154341,5.078117
2, auth12.JPG, 3#,337.42101,3.644266
2, careemo02.JPG, 2@,348.087673,4.375147
2, fair15.JPG, ,0,0
2, pur05.JPG, 4$,370.954332,4.078986
2, fair09.JPG, 3#,381.620995,4.243302
2, lib15.JPG, 3#,393.820996,4.422925
2, loy11.JPG, 2@,402.954323,4.967197
2, carephys14.JPG, 1!,413.620991,4.028385
2, fair10.JPG, 2@,428.887654,4.964413
2, auth09.JPG, 3#,436.487648,5.224398
2, fair08.JPG, 2@,445.620974,3.630849
